Name,City,State,Enrollment,Type,Region,Adm_Rate,ACT_median,Cost,Net_Tuition,Avg_Fac_Salary,PercentFemale,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,FourYearComp_Males,FourYearComp_Females,Debt_median,Salary10yr_median
Arizona Christian University,Glendale,AZ,705,Private,South West,0.5644,20,37562,11155,41463,0.289473684,0.822699966,0.023499999,0.197099991,0.023900001,0.144329897,0.185185185,10500,32200
Arizona College-Las Vegas,Las Vegas,NV,500,Private,Far West,0.8831,NA,36700,22591,66456,0.848670757,NA,NA,NA,NA,0.5,0.601866252,9483,NA
Arizona State University-Downtown Phoenix,Phoenix,AZ,8697,Public,South West,0.8062,23,25851,12487,82593,0.556830661,NA,NA,NA,NA,0.507620164,0.577367206,14271,47700
Arizona State University-Polytechnic,Mesa,AZ,4495,Public,South West,0.8337,24,23002,8643,78525,0.556830661,0.787600021,0.0349,0.192000008,0.029000001,0.507620164,0.577367206,14271,47700
Arizona State University-Skysong,Scottsdale,AZ,29636,Public,South West,0.6829,NA,24636,3050,80451,0.556830661,NA,NA,NA,NA,0.507620164,0.577367206,14271,47700
Arizona State University-Tempe,Tempe,AZ,42529,Public,South West,0.8478,26,25621,20364,103059,0.556830661,0.787600021,0.0349,0.192000008,0.029000001,0.507620164,0.577367206,14271,47700
Arizona State University-West,Glendale,AZ,3981,Public,South West,0.8241,22,22594,10395,90864,0.556830661,0.787600021,0.0349,0.192000008,0.029000001,0.507620164,0.577367206,14271,47700
Arkansas State University-Main Campus,Jonesboro,AR,8623,Public,South East,0.7721,24,21375,4037,62118,0.610874916,0.832600021,0.139499998,0.019299999,0.0049,0.296529968,0.37812979,15000,32200
Arkansas Tech University,Russellville,AR,7896,Public,South East,0.9024,NA,18627,4725,61497,0.566136413,0.897600021,0.0554,0.036500001,0.006,0.336388634,0.421201413,11490,34100
Art Center College of Design,Pasadena,CA,1987,Private,Far West,0.6765,NA,64097,34648,69984,0.55234657,0.604799995,0.051999998,0.266599998,0.164599991,0.497206704,0.556962025,28250,53600
Asbury University,Wilmore,KY,1596,Private,South East,0.6676,NA,39831,14491,59184,0.61549101,0.904000015,0.055599999,0.029000001,0.0139,0.422222222,0.572916667,19153,34900
Ashford University,San Diego,CA,28289,Private,Far West,NA,NA,23215,13243,58131,0.779918379,0.757799988,0.131899996,0.108400002,0.031300001,0.198916315,0.166274612,8344,41200
Ashland University,Ashland,OH,3955,Private,Great Lakes,0.6806,23,32757,13148,63468,0.440354913,0.904199982,0.061300001,0.0185,0.0125,0.431095406,0.56,19356,40400
Aspen University,Denver,CO,3389,Private,Rocky Mountains,NA,NA,17127,6360,42030,0.781021898,NA,NA,NA,NA,NA,NA,8292,NA
Assumption College,Worcester,MA,2014,Private,New England,0.8107,NA,53303,14911,76554,0.597,0.902399979,0.0326,0.043600001,0.026300001,0.644230769,0.766871166,25000,55200
Athens State University,Athens,AL,2732,Public,South East,NA,NA,NA,6817,76842,0.705078125,0.838899994,0.122600002,0.024000001,0.0065,0.483552632,0.576744186,13500,38700
Atlantic University College,Guaynabo,PR,1581,Private,Outlying Territories,NA,NA,9627,2062,27333,0.265486726,0.791600037,0.084399996,0.983899994,0.0024,0.291878173,0.411214953,3600,20100
Auburn University,Auburn,AL,24147,Public,South East,0.7543,28,31282,15908,93852,0.531504671,0.759000015,0.197999992,0.028900001,0.0165,0.582055215,0.704172876,16380,48800
Auburn University at Montgomery,Montgomery,AL,4529,Public,South East,0.9281,21,18291,7582,69102,0.69294809,0.599700012,0.372099991,0.0162,0.0091,0.243523316,0.268085106,12500,33300
Augsburg University,Minneapolis,MN,2311,Private,Plains,0.6896,22,51251,16399,69588,0.546448087,0.875999985,0.046999998,0.033199999,0.034100001,0.530546624,0.573333333,20834,46800
